,0,1
77,d2f51ee873367c96cf37328c8ea6a327ca2d978c,1288
78,0d6c1289295c900219836de08d9f7957c075d2ff,1288
79,8a8a4c06c280d9677e138782b794da78feac1187,1288
80,e1582e8a44b86bec1d6e554da3f84b1a1297ff0c,527
81,61b246baa4fbe8ea82a1bf42e473ba217072f51a,1288
82,d4676f878b3a0ca354ab4374631c66270434147d,527
83,c44f013016ac5519d80f4e5453b8e08ac05ee1b4,1288
84,81a5d5520bb16afed4945b155f9594177b6efe86,1288
85,561128b82765338e1c2ec2f1e79d9f0403b75699,1288
86,52393d51d27e31094247a52926b82b6e1105525e,1288
87,fab74d4726adbe35328e5a476771941ce73a75d6,1288
88,0f78f56f7a0484b1207376b767d93525d5ee34c3,527
89,1ed9396345d7809c975ce2b8620b2a729d661554,1288
90,2a3441ad98be16f66da25db47d9be970d886cce3,527
91,9ede8b1e42c05799be86f4ffd0ca67a926fbce3a,527
92,c956e93348f971a186054b73b1fede44c99199f4,527
93,1d3ee702e923e0e0a712ace382c1e11f603c7ebb,527
94,829409d3f044c4b16ae14160e493488f5363d151,1288
95,a8aaea440a0a05cf5d98eb40e2827dee045cbd90,197
96,50f43dbdda915cecf4c32a1e24dc3f1233f7d6b2,527
97,6599ce96531f53e5315f0f90c7ae5b5b52b8d6a6,527
98,e60f0ec0fe596dd0c99050822987a8b3bc941aa0,527
99,1cff2b995f881f87f6470828253e5985c8bbeb01,527
100,a32fd8a9f450ad613c5081c010571882357eb6e6,527
101,3124d89af492071aaca43a80c63eab80c6d5fd14,1288
102,2df9278dff56f42ee0dacd8c7348ec3818183a21,527
103,bbd66d5f0639e1f7a6dc2c5338c379f6a5e2d4ff,527
104,de02cdcd201907c6fb9a663920865338b359788c,527
105,1d4e7cec51a4115894e0a453e50e3de3ccc2d247,1288
106,c707edce48f7720ca2bc088cac2cdc2f027db179,1288
107,0ca97bf8bcdf4f1101b84ad4bac2cf3236f76c84,527
108,59342c52c0c6d6ad1a45dbe7845f50323a87d6b1,1288
109,ccb2375ae6b383fe76ba41ecd16ed020888163b8,197
110,2836996e2f8a4c5b7e87fcc3be09f1c4d9bf8ba0,1288
111,411745d629955d9e3daa71d5579d9cf49ba0a780,527
112,1dfb26ffcb51749ffb8a560686489ab2dd8f80de,527
113,b6d2dda7ef837ddd41d5c6bc5ef65e6633b05fe9,527
114,4e9e9f5010397d752f61deb4e1e58276e1bfddae,1288
115,60c4bd1babe617aae31f0945873467575b84facb,527
116,25b1ec3775f6b5e9d65fc9a6a51b0e38b6d231f3,1288
117,d4faecff1cab3a7d2123daf622c21646876dbca3,527
118,350e784fe5e497f9518e8455256a6c8cf6351936,1288
119,47d37ac2d0c6722e740a62978a2429cb3f4ed0a0,527
120,3ac8c7af888ce4a7b6eac5a74190cd3bdbe49f78,197
121,7878c36c894a2c69b240d95b29673e967f32ae78,527
122,3c156ba4485a73042e90967681e58f342a80836f,1288
123,0932b543d8fe8cbc22c68a281d381bf78f6e002b,1288
124,3d7d05b7ea4ffc0f0d8f919b833c2046bc01a181,197
125,62b837ffc2165af4d7f74e851cadca92e466bc9c,527
126,52046c600385583f67100b244f5785eb0dcdffc3,1288
127,6b0ee2da1573e2d8ca6d0622b886e4755238230e,527
128,a1b53d4d8388a9f44d1cb2bb733bf66114f73336,527
129,74546acf95b6211fd0ee4ee5688d14f6d3cab46f,527
130,76e366756277788eb4afc8ec898dafc3b0637b2b,527
131,d57fdf27e58f9ccffe4c1d341fb9b1a6bb570ce3,527
132,4db6412bd386905f6ce0feb86ceb80ab1f847e2d,527
133,a10b842c4b7d53fbd0fb887f13cc6f82e9c5a497,1288
134,f1071f3e25701cd9ecfeb883cdc08bef6b9f1413,1288
135,cbd81221732089383941410fc4924282141492cd,1288
136,2e7642de7b2a2406bf46107ecbd03e9310c13b48,1288
137,d9fcbddb57dea668951a1b725f6b29a3944c884b,1288
138,a4dcddd2f01f0cdcfca0f7294911645ec96f82ab,1288
139,f9be732bc7f14b19aebe6ec05cee1547e4381cad,1288
140,7f396e7138899bb9c9e7a1eb1abddd3b94bff4ef,527
141,8c2e3e11fd56d18db3a0077f954e93034a1dd729,1288
142,8d6b29efb9774122a65ff5dbdd106d2fb5625386,1288
143,fd37b9fde2d95c897c7873b2ba188b17dc2bdb3d,527
144,8ec68370e430bb5300344df08913c1654bfea9af,527
145,cea836e1902a3bbd86d4976c689ed06ac5bf9eb1,1288
146,c1439bf0678aeeb36cb009862649e97acbe9e212,1288
147,1517b0ab6af69d98902649c6678e159d955de662,1288
148,3d70ce4a29745cc4230d64ca182da845c5c15b35,1288
149,508d88d348a9805480b49dcdff0878595687722b,1288
150,2ab0e2e175cb5f3a614184fe142600fe6480a063,527
151,8fcf6ff4747619f4a4cc94d46cd9f70844d7f045,1288
152,6760828c2527e061aaccbaf8fd8552fb6c04f16b,527
153,24a8593d8d8ffe9b71f2b7c3b4afbe2945acad6d,527
154,4059bdf2f13a906c8a0caa931f984c08cd534455,1288
